LetterID,Date,MaintCrew,ProdShift,STARTAuditCount,Attachments,Safety,TopXActions,Joining,Dimensional,Training,Recognition,EquipRepairs,DoorRepairs,FollowUp,Environmental
929,7/6/2019,C,,0,;;;;;,No Issues,\n,"Nights ? Sidorowicz - A-Crew - 7-6-19
 
TM?s worked on cleaning feeders along with doing rebuilds in the shop. Also working on a project for Satterwhite.
 
Completed work orders below
 
6Y Framing Respot
6Y-180-01 - Screw feeder empty / clean / inspect
6Y-180-02 - Screw feeder empty / clean / inspect
6Y-180-03 - Screw feeder empty / clean / inspect
6Y-180-04 - Screw feeder empty / clean / inspect
7G Roof Rail
7G-10-R03 - Stud feeder empty / clean
                                7G-10-L03 ? Stud feeder empty / clean",,,,\n\nParts:,Door Repairs:,,
930,7/6/2019,,,0,;;;;;,No Issues,\n,"Nights ? Sidorowicz - A-Crew - 7-6-19
 
TM?s worked on cleaning feeders along with doing rebuilds in the shop. Also working on a project for Satterwhite.
 
Completed work orders below
 
6Y Framing Respot
6Y-180-01 - Screw feeder empty / clean / inspect
6Y-180-02 - Screw feeder empty / clean / inspect
6Y-180-03 - Screw feeder empty / clean / inspect
6Y-180-04 - Screw feeder empty / clean / inspect
7G Roof Rail
7G-10-R03 - Stud feeder empty / clean
                                7G-10-L03 ? Stud feeder empty / clean",,,,\n\nParts:,Door Repairs:,,
931,7/6/2019,,,0,;;;;;,No Issues,\n,"Nights ? Sidorowicz - A-Crew - 7-6-19
TM?s worked on cleaning feeders along with doing rebuilds in the shop. Also working on a project for Satterwhite.
Completed work orders below
6Y Framing Respot
6Y-180-01 - Screw feeder empty / clean / inspect
6Y-180-02 - Screw feeder empty / clean / inspect
6Y-180-03 - Screw feeder empty / clean / inspect
6Y-180-04 - Screw feeder empty / clean / inspect
7G Roof Rail
7G-10-R03 - Stud feeder empty / clean
7G-10-L03 ? Stud feeder empty / clean",,,,\n\nParts:,Door Repairs:,,
932,7/6/2019,D,,0,;;;;;,"No Issues
 
Near Miss:   Employee without hard hat or sleeves.   Employee did not have access to PPE.",\n,,,,"Hanna, Tutwiler and Brown completed sexual harrasment training.","\nInstallation of Hoist laser eyes has stalled.    Hardware has been installed at Station 05 U/B and Station 30 LH B/S inners but having issues getting the analog input module working.    Don't intend to install hardware at anymore locations until input module issues are solved.
 
Robot Battery replacement:   Framer 1, 2 ,3 and 4 have been changed.   Plan on having the ring of fire complete by end of shift Sunday.   Date labels have been installed.
 
Light Screen Stands:    C01 and C06 are complete.    Need to touch up the sick scanner program to accommodate slightly different locations of the new light screen stands.
 \nParts:",Door Repairs:,Pipefitters are finding many panel heat exchangers do not have filters.   Mr.  Wood is researching and trying to find a filter we can retrofit.,
933,7/6/2019,D,,0,;;;;;,"No Issues
 
Near Miss:   Employee with no PPE.    Supplied employee with hard hat and sleeves.",\n,,,,,\n\nParts:,Door Repairs:,,
934,7/7/2019,,,0,;;;;;,"Near Miss: Employee on loan from another department provided with sleeves.
Near Miss: Fixed safety cable on Jan Fan that had been improperly installed.
Near Miss: Reminded electricians inside robot cell to wear bump caps.",\n,,,,,\n\nParts:,,,
935,7/7/2019,,,0,;;;;;,"Near Miss: Fixed safety cable on Jan Fan that had been installed improperly.
Near Miss: Reminded electricians to wear bump caps in robot cell.",\n,,,,Joshua Kotter complete sexual harassment training.,\nFinished running cables for the new Leoni harness at 6X-130-4. The cable that was included with the harness was too short - a longer version of the cable was found in the electrician crib and info sent to Dave to set up in stores.\nParts:,Door Repairs:,,
936,7/7/2019,,,0,;;;;;,Near Miss: Fixed a safety cable on a Jan Fan that had been improperly installed.,\n,,,,,\n\nParts:,Door Repairs:,,
937,7/7/2019,CD,,0,;;;;;,"Near Miss: Fixed fan safety cable that had been improperly installed.
Near Miss: Electricians reminded to wear bump caps while working in robot cells.",\n,"Nights ? Sidorowicz - C-Crew - 7-7-19
 
Had TMs remove Primary weber flow drill on 9A-40-01. Gun was placed on table in TM crib for rebuild.
 
Completed PM?s below
 
8Y Underbody Respot
 
8Y-10-05 Tool changer general inspection. Along with Pins / Bearings
8Y-10-06 Tool changer general inspection. Along with Pins / Bearings
 
9C Cowl Top
 
9C-210-01 - Clean wrist area 
9C-220-01 - Clean wrist area
9C-230-01 - Clean wrist area
9C-230-02 - Clean wrist area
 
9B Dash
 
9B-210-01 ? Clean wrist area
9B-220-01 ? Clean Wrist area
9B-245-01 ? Clean wrist area
                9B-250-03 ? Clean wrist area 
 
Lavigne  7-6-2019
Weber Programs: Programs in RHBS, LHBS and Framer 6X-060 has the weber programs broken up between Gun 1 and 2 and SWB, LWB.
 
Henrob Health Assessment is about 100% complete on 7-7-2019. 
 
Framer 1,2,3 Respot 2,3: Weber robot programs has been touched for Gun # 2 so the point before the and after the screw inserts are the same points.  Working on Gun # 1.
 
Weber Guns: in the shop all 4 gun have been rebuilt.  The gun on the test stand faults after putting in five screws. 
 
9A-040-01 Primary Gun: Has been pulled and is getting rebuilt.
 
132 PM?s has been completed.  Next week PM?s are Completed. 
 
7-7-2019 LaVigne
 
 Toolmakers are working on Rebuilds in the shop, and Rebuilding the HFE 9A-040-01 Primary Weber gun.
 
Completed the Henrob Health Assessment. 
 
Updating the Henrob information stickers on the Henrob Controllers for the ones missing Setter, Punch, GBSD, Die information.
 
SCP has been set out at all the sealer stations.
 
 
Need Follow Up:
 
9A-040-01 Primary Weber Gun: The gun has been rebuilt wasn't able to test the gun on the test stand.  The gun has been put back in 9A-040-01 needs to be connected and tested.
 
Weber gun on the bench has been rebuilt but faults after it puts in 4 screws.
 
 
 
 ",,,Devin Hulak and Mark Coleman for organizing the annual SUV Body Night Shift barbecue. Good food and good times were had by all.,"\nWe finished running the last two cables for the new Leoni harness at 6X-130-04. One of the cables provided with the kit was too short. The longer version of the cable was not set up in stores, but we found one in the electrician crib. We sent the cable info to Dave Aldridge to set up for future use. We ran the 6X-130-4 robot through long and short wheelbase programs and tested the sealer system, and everything is ready to go.
 
Millwrights took an old Philadelphia gearbox from the Kolene Building and attempted to take it apart to see if we could replace the input shaft bearing on the gearbox in the mezz for roller flight #19.  It does not appear the tapered bearings we were given are correct, they are too large.  It also does not appear that replacing the bearings is something that one would want to do in place.  Top has to come off and the bearings pressed in and out.  
Inspected the encoder assemblies for the east CAL line.  Back up is Ok.  Primary had a bad wheel and bearing is going bad.   Replacing bearings and wheel.  Will not be ready to install this morning.  Josh will set it up to run off the back up encoder and we will install the repaired encoder assembly Tuesday night when we return.
Relocated fans on the right side of the hood install fixture to match the left side.
Worked on millwright and electrician PM?s
Hester and Hulak?s teams worked on light screen upgrade at B42 pallet farm and the new paint mix room.
 
 
All Robot Batteries in the Main Line loop are complete.   We are considering battery change complete unless told otherwise.
 
Begun the fuel shroud re-arrangement job.    Two guns removed.   Other two controllers have been relocated as well as a J-box.    Will be ready for millwrights in the morning.
 
Still having issues getting the analog input modules on the hoist lasers.
 \n",,"The away SICK scanner on C06 aisle crossing is showing blocked.  We cleaned the lenses and checked for debris in the field but found nothing yet.   ",
938,7/8/2019,AB,,0,;;;;;,"Completed Summer Stand down for J. French
 
Handed out Safety talk #4",\n,"Nights ? A-Crew ? Snyder ? 7/7/19
TMs continued to work on rebuilding setters, GBSDs, noses and Webers.
 
Date stamps changed on subs up front.
 
Put gun that was marked in Tims note back on test stand and ran it through the ringer. Had to finesse the analog depth sensor quite a bit to get it to read both ?adv? and pass the offset. ",,,Devin Hulak and Mark Coleman again for organizing the A-Crew night of the annual SUV Body Night Shift Barbecue. Good food and good times were had by all for the second night in a row.,"\nRearranged fuel shroud job at the beginning of closure 1.
 
Continued work on PM's
 
Electricians worked with Hester on projects
 
Got logic files in one common location on CRW's for easier access. Will make an SPL for CRW's and where file is located
 
Ran parts through blue tools to verify for 6am startup
 
Clinton Anderson and Aaron Cruze tidied up the boiler room. There were a number of ladders and toolboxes in the space reserved for General Stores items. They moved these off to the side under the mezz area to make the area presentable for surprise audits from Adrian.
 
Completed getting serial no's for PM sheets from BAF's.
 
Painter worked on flors putting clear coat on walkways.  Also completed high guard rail at P24.\n",,"We need to be wise about storing project items in the boiler room. The area under the mezz is fine for secure storage, but any non-General-Stores items that are left in the yellow-taped can cause us to fail audits from the controller?s office. We were fortunate to not have an audit this week, but we should avoid taking risks in the future.",
939,7/8/2019,B,,0,;;;;;,No Issues,\n,,,,,"\nCentral got the A/C running in the rest of the office.
Painters worked putting sealer on cross walks and started painting the high guard rail at P24.\n",,,
940,7/8/2019,B,,0,;;;;;,No Issues,\n,"Semelroth-
 
Cook and Barr: Robot rebuild
 
Apprentices continued working on fitter tools and delivered a large pile to Hobbs. 
 
Gaddie and Steffes: Covered Blue tools, worked on rebuilds and completed the following swaps. 
8Y-030-01 Die 
8Y-030-02 Die 
8Y-030-03 GBSD 
8Y-040-04 Die 
8Y-040-05 Die 
8Y-050-02 GBSD and Setter 
8Y-050-04 Die 
8Y-110-02  GBSD 
8Y-110-03 Die 
8Y-110-04 GBSD 
8Y-110-06 GBSD 
 
Vanda Moore verified 9A40-1 is functioning as expected. 
 ",,,,\n\n,,,
942,7/9/2019,A,,0,;;;;;,No Issues,\n,"Nights ? Snyder ? A-Crew ? 7/8/19
TMs worked on rebuilding GBSDs and noses from swaps today.
 
TMs continued working on setter rebuilds. We are down to 1 partial rack of setters to be rebuilt. The empty rack closest to the door can now be used for ?good? green tag setters.
 
TMs went around and changed date stamps in subs for today?s run.",,,,"\nCompleted reject hourly tracking on front door line. Will work on rear door this weekend.
 
Electricians continued working with Hester and Hulak on projects
 
Continued work on PM's
 
Added the new Leoni sealer harness to the dual sealer system. The pipefitters tested and purged the system.
 \n",,Need to have Electricians reroute the electrical cables through the new harness on 7X-10L-1R. Also need to run the robot through its programs to verify full function.,
943,7/9/2019,B,,0,;;;;;,No Issues,\n,"Semelroth:
Steffes: Worked on Joe's motor test stand plates. 
 
Gaddie: Covered production calls and worked the rebuild bench
 
Cook and Barr: Worked robot rebuild. 
 
Tox was in today and loaded a firmware update into the controllers that has corrected the fast fault recovery. It was verified in Cowl dash. I'll forward the service report to everyone once I get it. 
 
 
 ",,,,"\nOiler and Electricians worked PM's.
 
Had cleaen up work at P24 and Material Handling put racks back in place.
 
Pipefitters and Millwrights worked on Paint Booth.
 
Painters worked crosswalks and striping.
 
 
-Rodriguez 
 
*Both sets of lasers are installed on 8X-005-FX1.  The load assist is showing clear with a limit instruction accepting a range from 7k-19k.  Safeties are locked back.  After testing had to tie back slack in a few chords that were obstructing the lasers sight.  Plan on testing more in the morning.
 
*Adjusted window of detection on aisle crossing scanner on C06 (furthest away from CRW).  Made a back up of the changes but still need to put the files on CRW.\nParts:",,,
944,7/10/2019,C,,0,;;;;;,No Issues,\n,,,,,"\nInstalled rebuilt primary encoder assembly in east CAL line.
Replaced camera #5 on the roof perceptron 6X140-R8.  Calibrated it three times, passed all three times. Ran three units thru and it decked all three without issue.
Cycled three units in automatic to verify the new Leoni package sealer system on robot 6X130-R4, in issues so far. 
Installed roller guide assembly on lift table #2 in the pallet farm, had to make a couple of machining modifications to get it tweaked in.  May require more tweaking when we cycle more units.  
Millwrights completed PM?s for shuttle table #17 in the mezz at W28
Added additional prox switch on the hood line sta 10 turn table to detect the 3rd stud on the latch reinforcement plate.  Logic and panel view has been updated.  Will send info to Pace to update FIS.
Pipefitters working on PM?s.  
Hulak and Hester team working on light screen upgrades in the pallet farm elevators, battery charger installs, and access points.
Joe Jackey in the blue tools. \n",,,
945,7/10/2019,C,,0,;;;;;,No Issues,\n,,,,,"\nInstalled rebuilt primary encoder assembly in east CAL line.
Replaced camera #5 on the roof perceptron 6X140-R8.  Calibrated it three times, passed all three times. Ran three units thru and it decked all three without issue.
Cycled three units in automatic to verify the new Leoni package sealer system on robot 6X130-R4, in issues so far. 
Installed roller guide assembly on lift table #2 in the pallet farm, had to make a couple of machining modifications to get it tweaked in.  May require more tweaking when we cycle more units.  
Millwrights completed PM?s for shuttle table #17 in the mezz at W28
Added additional prox switch on the hood line sta 10 turn table to detect the 3rd stud on the latch reinforcement plate.  Logic and panel view has been updated.  Will send info to Pace to update FIS.
Pipefitters working on PM?s.  
Hulak and Hester team working on light screen upgrades in the pallet farm elevators, battery charger installs, paint booth and access points.
Joe Jackey in the blue tools. \n",,,
946,7/10/2019,C,,0,;;;;;,No Issues,\n,,,,,"\nInstalled rebuilt primary encoder assembly in east CAL line.
Replaced camera #5 on the roof perceptron 6X140-R8.  Calibrated it three times, passed all three times. Ran three units thru and it decked all three without issue.
Cycled three units in automatic to verify the new Leoni package sealer system on robot 6X130-R4, in issues so far. 
Installed roller guide assembly on lift table #2 in the pallet farm, had to make a couple of machining modifications to get it tweaked in.  May require more tweaking when we cycle more units.  
Millwrights completed PM?s for shuttle table #17 in the mezz at W28
Added additional prox switch on the hood line sta 10 turn table to detect the 3rd stud on the latch reinforcement plate.  Logic and panel view has been updated.  Will send info to Pace to update FIS.
Pipefitters working on PM?s.  
Hulak and Hester team working on light screen upgrades in the pallet farm elevators, battery charger installs, paint booth and access points.
Joe Jackey in the blue tools. \n",,,
947,7/10/2019,C,,0,;;;;;,"Repaired guard posts and guard rail at P24, K23, Q30, and Y21.",\n,"Nights ? Sidorowicz - A-Crew - 7-10-19
 
Had TMs work on PMs including emptying slug bins, cleaning feeders, inspecting dies, inspection of pierce head, cleaning off fixture pins, weber flow drill escapement clean and inspect, inspect fixture tooling / clean robot wrist area.
 
                Doug McGovern worked on rebuilding setters",,,,"\nInstalled rebuilt primary encoder assembly in east CAL line.
Replaced camera #5 on the roof perceptron 6X140-R8.  Calibrated it three times, passed all three times. Ran three units thru and it decked all three without issue.
Cycled three units in automatic to verify the new Leoni package sealer system on robot 6X130-R4, no issues so far. 
Installed roller guide assembly on lift table #2 in the pallet farm, had to make a couple of machining modifications to get it tweaked in.  May require more tweaking when we cycle more units.  
Millwrights completed PM?s for shuttle table #17 in the mezz at W28
Added additional prox switch on the hood line sta 10 turn table to detect the 3rd stud on the latch reinforcement plate.  Logic and panel view has been updated.  Will send info to Pace to update FIS.
Pipefitters working on PM?s.  
Hulak and Hester team working on light screen upgrades in the pallet farm elevators, battery charger installs, new paint booth, and access points.
Joe Jackey in the blue tools. \n",,,
950,7/10/2019,D,,0,;;;;;,"Near Miss-Electrican not wearing sleeves. ",\n,"8F-130-04: Updated 1A4's
8F-130-06 G1: Updated 1A4's
 
6Y-090-07: After Setter change, is in teach 100. Follow up.
 
Toolmakers worked on PM's and rebuilt Setter, GBSD and Magazines.",,Required environmental training completed for two electricans.,,"\nRodriguez
 
7K-30 LH B/S -  Finished configuring I/O for load assist lasers.  The processor is locked back with a new signature and EL10's completed.\n",,MWs were asked to fix unsecured yellow pole at V25 damaged by MPL.,
951,7/11/2019,C,,0,;;;;;,No Issues,\n,"Nights ? Sidorowicz - A-Crew - 7-11-19
 
Had TM?s swap out date stamps / clean hemmers. Also work on PM's, rebuild Setters, GBSD?s and Magazines.
 
9B-250-06 Emhart back-up feed tube installed
 
6X-20-05 ? Rivet not escaped fault. Tool ended up needing the magazine refilled. Refilled magazine, ran next part without issues.",,,,"\nSICK scanner at C01 reprogrammed for the new light screen stand.
Framer 1 robots all moved back to home position and ready to run.
Millwrights finished the trailer guide rework at the seat dock and worked on PM?s
LH 7X-30 sealer is operational.  Replaced the plunger assembly meter on the gun 1 and the Turck RTD block in the controller cabinet.  All faults have cleared.  The plunger meter assembly had a bad RTD sensor.  
Devin says he is finished with the B42 elevator light screen upgrades.\nParts:",,"Hoist clear switches for hoist #2 at sta 05 on underbody are not working correctly.  We were not able to run units in underbody main.
 
Lift gate load perceptron is down.  Not communicating.  Ethernet IP connection lost to line PLC.  Stretched out a new cable, cycled power multiple times to no avail.   ",
